,name,gender,is_buy,amount,platform,sighup_days,history_times,history_amount,last_buy_date,today_search_times,last_day_search_times,sigh_up_days_last_week,last_buy_date_to_now,city,province
0,赵伟,male,1,197.9,adr,36,12,322.8,2021/4/19,3,1,0,6,郑州,河南
1,赵明,male,1,11.9,adr,16,2,137.8,2021/4/9,1,0,0,16,邯郸,河北
2,赵军,male,1,77.9,ios,154,22,12229.8,2021/2/6,2,1,0,78,临沧,云南
3,赵子轩,male,1,48.9,adr,14,2,129.8,2021/4/21,1,1,2,4,南平,福建
4,赵浩轩,male,1,82.9,adr,5,5,104.5,2021/4/24,1,0,4,1,北京,北京
5,赵皓轩,male,1,31.9,adr,15,3,305.7,2021/4/12,4,2,0,13,白山,吉林
6,赵子涵,male,1,41.9,ios,98,14,264.6,2021/4/22,1,0,0,3,哈尔滨,黑龙江
7,赵一诺,male,1,32.9,ios,21,7,587.3,2021/4/19,2,1,0,6,宜春,江西
8,赵宇航,male,1,38.9,ios,0,0,0,2021/4/25,2,1,3,0,河源,广东
9,赵昊然,male,1,4.9,adr,9,1,33.9,2021/4/25,2,1,5,0,襄阳,湖北
10,赵一鸣,male,1,101.9,adr,44,11,207.9,2021/4/19,2,1,0,6,丹东,辽宁
11,赵子宸,male,1,81.9,ios,49,7,706.3,2021/3/7,2,1,0,49,商洛,陕西
12,赵子豪,male,1,79.9,adr,234,26,5197.4,2020/12/16,3,2,0,130,喀什,新疆
13,赵明轩,male,1,24.9,adr,12,12,310.8,2021/4/20,3,1,1,5,济宁,山东
14,赵致远,male,1,44.9,adr,20,10,269,2021/4/22,2,1,1,3,黄南,青海
15,赵俊熙,male,1,20.9,adr,0,0,0,2021/4/25,3,2,6,0,深圳,广东
16,赵天佑,male,1,184.9,adr,180,60,3834,2020/12/5,6,1,0,141,平顶山,河南
17,赵睿,male,1,38.9,ios,21,7,937.3,2021/4/25,4,2,4,0,开封,河南
18,赵子睿,male,1,1.9,ios,5,1,23.9,2021/4/25,1,1,0,0,扬州,江苏
19,赵宇轩,male,1,24.9,adr,84,12,934.8,2021/3/6,1,1,0,50,朝阳,辽宁
20,赵致远,male,1,6.9,adr,9,1,46.9,2021/4/23,3,1,0,2,珠海,广东
